iter	RMSE
335	0.09671881382
336	0.0966422694
337	0.09644258243
338	0.09638451008
339	0.09632055154
340	0.09625336855
341	0.09618792235
342	0.09613208392
343	0.09606861201
344	0.09587445763
345	0.09577275719
346	0.09560260107
347	0.0955406139
348	0.09548022312
349	0.09541214158
350	0.09535644471
351	0.09530212624
352	0.09524599479
353	0.09519421843
354	0.09514069425
355	0.09507533578
356	0.09502338139
357	0.09493193955
358	0.09488372097
359	0.09483669783
360	0.0947744013
361	0.09468859371
362	0.09464276652
363	0.09459807654
364	0.09441292932
365	0.09436921612
366	0.09432658842
367	0.09428501942
368	0.09424448299
369	0.0941980535
370	0.09415860571
371	0.09410193883
372	0.09394222626
373	0.09390077842
374	0.09386321514
375	0.09380582538
376	0.09376418478
377	0.09361486755
378	0.09357578784
379	0.09354012657
380	0.09350315715
381	0.09346845211
382	0.09343275221
383	0.09339627266
384	0.09336073057
385	0.09332620089
386	0.09329278895
387	0.0931480159
388	0.09307746006
389	0.09304263508
390	0.09300870622
391	0.09286154026
392	0.09277803392
393	0.09274488786
394	0.09260509219
395	0.09257483272
396	0.09254532885
397	0.09251656173
398	0.09248851298
399	0.09237127196
400	0.09234382204
401	0.09230695155
402	0.09228023598
403	0.09225131788
404	0.09222202928
405	0.09212021717
406	0.09209421491
407	0.09206077321
408	0.09203547077
409	0.09201080144
410	0.0919768691
411	0.09195285547
412	0.0919210453
413	0.09189528948
414	0.09183268479
415	0.09180981112
416	0.09178751024
417	0.09173541927
418	0.09171004735
419	0.09168833005
420	0.09162818206
421	0.09157727617
422	0.09147880384
423	0.09144987069
424	0.09142863169
425	0.09140049785
426	0.09137982856
427	0.09135967794
428	0.09130486304
429	0.09128521041
430	0.09119301988
431	0.09115970885
432	0.09108354684
433	0.09106231946
434	0.09104352661
435	0.09102122576
436	0.09095252304
437	0.09093421395
438	0.09089640624
439	0.09087716599
440	0.09086025707
441	0.09080924618
442	0.0907206873
443	0.09067364889
444	0.09057910687
445	0.09055996559
446	0.09054174007
447	0.09050803826
448	0.09049189624
449	0.09045947098
450	0.0904160173
451	0.09038536769
452	0.09036962781
453	0.09035428364
454	0.09032533909
455	0.09031037978
456	0.09026497065
457	0.0902503831
458	0.09021091921
459	0.09014834809
460	0.09012295358
461	0.09010712007
462	0.09006275172
463	0.09002636253
464	0.08999825796
465	0.08997305207
466	0.0899376361
467	0.08991464621
468	0.08989060023
469	0.0898685444
470	0.08983524854
471	0.08978027455
472	0.08975808045
473	0.08974505863
474	0.08969711317
475	0.08968440671
476	0.08965999732
477	0.08964759604
478	0.08963550755
479	0.0896043292
480	0.08958096918
481	0.08950301895
482	0.08948418714
483	0.08945597322
484	0.08943795195
485	0.08939578198
486	0.08938327895
487	0.08937255807
488	0.08935199384
489	0.0893355442
490	0.08926579099
491	0.08924091209
492	0.08922946906
493	0.089182859
494	0.08916182742
495	0.08914328585
496	0.08913257953
497	0.08911812069
498	0.08909294043
499	0.08906193166
