model_name,dataset_name,num_train_samples,num_epochs,batch_size,fp16,pue,experiment_id,gpu_type,learning_rate,max_sequence_length,gradient_accumulation_steps,num_gpus,dataset_config,model_parameters
distilbert-base-uncased,sst2,67349,1,8,TRUE,1.58,93e7a811-fd4f-4e3e-a072-31b4c41d37bf,Tesla T4,2.00E-05,512,1,1,,66000000
distilbert-base-uncased,sst2,67349,1,16,TRUE,1.58,b84e8de0-983e-4da5-a51a-052f64fa74ff,Tesla T4,2.00E-05,512,1,1,,66000000
distilbert-base-uncased,sst2,67349,1,32,TRUE,1.58,e86dc304-5a47-4ac6-b02d-543e8e0886a7,Tesla T4,2.00E-05,512,1,1,,66000000
bert-base-uncased,imdb,5000,1,8,TRUE,1.58,ee5fb800-3e09-4c7e-be98-c8fbae1c7e3b,Tesla T4,2.00E-05,512,1,1,,110000000
bert-base-uncased,imdb,5000,1,16,TRUE,1.58,6ee656dd-c771-4a40-bf8c-09b59a621316,Tesla T4,2.00E-05,512,1,1,,110000000
bert-base-uncased,imdb,5000,1,32,TRUE,1.58,a9b4245e-fae1-4d0e-8c5e-de3839f772f2,Tesla T4,2.00E-05,512,1,1,,110000000
bert-base-uncased,imdb,15000,1,8,TRUE,1.58,a1c94ef7-4cbe-4a46-a4c8-e306d3a79e51,Tesla T4,2.00E-05,512,1,1,,110000000
bert-base-uncased,imdb,15000,1,16,TRUE,1.58,6fd5802c-11bf-4e48-bf59-ca5f34a37fae,Tesla T4,2.00E-05,512,1,1,,110000000
bert-base-uncased,imdb,15000,1,32,TRUE,1.58,a8bf3ad7-9502-4e87-984f-d592da974ac0,Tesla T4,2.00E-05,512,1,1,,110000000
bert-base-uncased,imdb,25000,1,8,TRUE,1.58,96b4f226-bd0e-4a5c-ac1f-4eea9d9d50c8,Tesla T4,2.00E-05,512,1,1,,110000000
bert-base-uncased,imdb,25000,1,16,TRUE,1.58,31538a0b-5cef-40a8-8a91-dae6aa957eb4,Tesla T4,2.00E-05,512,1,1,,110000000
bert-base-uncased,imdb,25000,1,32,TRUE,1.58,7183af11-8446-4ed7-8b4d-f23ecfe74e9f,Tesla T4,2.00E-05,512,1,1,,110000000
bert-base-uncased,sst2,67349,1,8,TRUE,1.58,b721178b-dd92-4e16-8027-647473e48748,Tesla T4,2.00E-05,512,1,1,,110000000
bert-base-uncased,sst2,67349,1,16,TRUE,1.58,8cd2f75a-973d-4b5b-8c3b-afc7101f1a0d,Tesla T4,2.00E-05,512,1,1,,110000000
bert-base-uncased,sst2,67349,1,32,TRUE,1.58,d10b3f5a-b117-49b4-95dd-20df9a250e4d,Tesla T4,2.00E-05,512,1,1,,110000000
bert-base-uncased,sst2,67349,1,8,TRUE,1.58,a1c11c6c-551b-4eac-bc6c-21ec3fbdca2e,Tesla T4,2.00E-05,512,1,1,,110000000
