CO2_emissions(kg)
0.020699495
0.006501987
2.6e-05
5.07e-05
0.004392742
0.00187824
7.08e-05
2.1e-05
0.010148881
0.020756185
4.71e-05
0.6006927425647643
0.002003801
3.31e-05
0.006753794
0.021218393
0.020575225
1.33e-05
1.3e-06
2.04e-06
1.281402702
1.45e-05
1.11e-06
1.98e-05
0.00188661
0.003524565
1.02e-05
1.06e-06
1.5e-06
1.72e-06
1.05e-05
2.1e-05
1.42e-05
3.35e-05
1.228980028
0.001236525
0.022527103
3.3e-05
0.003565422
8.62e-07
1.03e-05
0.002063275
0.870849998
0.011247409
0.006389031
0.013247806
0.002436826
1.09e-06
0.008906096
0.764310277
1.89e-05
0.003570724
0.021966664
2.56e-05
5.89e-05
1.07e-05
4.35e-05
2.07e-05
1.28e-06
5.33e-05
4.75e-05
0.006321126
0.003208853
0.013307643
1.798423866
0.00297131
1.01e-05
3.48e-05
4.52e-05
1.24e-05
0.003427606
0.006161978
0.001791729
2.28e-06
5.11e-05
3.57e-05
7.96e-07
0.020684401
0.020340567
1.16e-06
0.005423417
1.05e-05
3.06e-05
0.020818548
0.004503954
1.09e-05
0.002951177
4.25e-05
0.020756107
0.007149098
0.020725466
1.48e-06
0.001099949
2e-05
3.16e-05
2.24e-05
0.006828238
0.004532224
0.002566562
1.866471333
8.45e-07
0.002475096
1.27e-06
0.008809379
4.3e-05
2.540677105
0.00021017
0.002227099
1.757034977
0.001028538
0.006619591
2.12e-05
4.17e-05
1.43e-06
2.17e-05
1.65e-05
6.15e-05
1.96e-05
1.7783362328450756
0.002343812
4.09e-05
0.004380329
1.05e-05
3.46e-05
3.13e-05
