model_name,dataset_name,num_train_samples,num_epochs,batch_size,fp16,pue,gpu_type,learning_rate,max_sequence_length,gradient_accumulation_steps,num_gpus,dataset_config,model_parameters,Unnamed: 15,log_model_parameters,total_tokens,compute_load,compute_log,size_cluster,gpu_power_watts,model_family
t5-small,imdb,50000.0,1.0,64.0,True,1.1,TPU v2-8,3e-05,256.0,1.0,1.0,,60000000.0,,17.909855136853043,12800000.0,768000000000000.0,34.274810849076225,small,250,t5
google/mobilebert-uncased,sst2,3000.0,1.0,8.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,128.0,1.0,1.0,glue/sst2,25000000.0,,17.034386422832473,384000.0,9600000000000.0,29.892784214402443,small,250,bert
bert-large-uncased,imdb,15000.0,1.0,8.0,True,1.58,Tesla T4,2e-05,512.0,1.0,2.0,,335141890.0,,19.63006455533903,7680000.0,2573889715200000.0,35.48419465747907,small,70,bert
Writer/camel-5b-hf,amazon_polarity,12000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,1e-05,768.0,32.0,1.0,,5000000000.0,,22.33270374958051,9216000.0,4.608e+16,38.36915541129832,large,250,other
bert-base-uncased,imdb,30000.0,1.0,16.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,512.0,4.0,1.0,,110000000.0,,18.5159909328476,15360000.0,1689600000000000.0,35.063268209440494,small,250,bert
Writer/camel-5b-hf,sst2,10000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,1e-05,512.0,32.0,1.0,,5000000000.0,,22.33270374958051,5120000.0,2.56e+16,37.781368746396204,large,250,other
distilbert-base-uncased,sst2,30000.0,1.0,32.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,256.0,1.0,1.0,,66000000.0,,18.005165315142214,7680000.0,506880000000000.0,33.85929540511456,small,250,bert
distilbert-base-uncased,imdb,20000.0,1.0,16.0,True,1.58,Tesla T4,2e-05,512.0,1.0,1.0,,66000000.0,,18.005165315142214,10240000.0,675840000000000.0,34.14697747756634,small,70,bert
distilbert-base-uncased,imdb,20000.0,1.0,32.0,True,1.58,Tesla T4,2e-05,256.0,1.0,1.0,,66000000.0,,18.005165315142214,5120000.0,337920000000000.0,33.45383029700639,small,70,bert
gpt2-medium,imdb,50000.0,1.0,16.0,True,1.58,Tesla P100-PCIE-16GB,1e-05,128.0,4.0,1.0,,354823168.0,,19.687130107846,6400000.0,2270868275200000.0,35.35893865335759,small,250,gpt
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,imdb,2000.0,1.0,2.0,True,1.58,NVIDIA GeForce RTX 3080,2e-05,512.0,4.0,1.0,,1100000000.0,,20.818576017659826,1024000.0,1126400000000000.0,34.65780310133233,large,320,llama
Writer/camel-5b-hf,yelp_polarity,14000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,1e-05,1024.0,32.0,1.0,,5000000000.0,,22.33270374958051,14336000.0,7.168e+16,38.81098816357736,large,250,other
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,imdb,3000.0,1.0,8.0,True,1.58,NVIDIA GeForce RTX 3080,2e-05,128.0,1.0,1.0,,1100000000.0,,20.818576017659826,384000.0,422400000000000.0,33.6769738483206,large,320,llama
gpt2-medium,imdb,10000.0,1.0,4.0,True,1.58,Tesla P100-PCIE-16GB,3e-05,512.0,4.0,1.0,,354823168.0,,19.687130107846,5120000.0,1816694620160000.0,35.13579510204338,small,250,gpt
bert-base-uncased,imdb,30000.0,1.0,64.0,True,1.1,TPU v2-8,3e-05,128.0,1.0,1.0,,110000000.0,,18.5159909328476,3840000.0,422400000000000.0,33.6769738483206,small,250,bert
distilbert-base-uncased,imdb,20000.0,1.0,32.0,True,1.58,Tesla T4,5e-05,256.0,1.0,1.0,,66000000.0,,18.005165315142214,5120000.0,337920000000000.0,33.45383029700639,small,70,bert
google/gemma-2-2b-it,imdb,15000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,1e-05,256.0,16.0,1.0,,2000000000.0,,21.416413018006356,3840000.0,7680000000000000.0,36.57739594207027,large,250,gemma
bert-base-uncased,sst2,50000.0,1.0,32.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,256.0,2.0,1.0,,110000000.0,,18.5159909328476,12800000.0,1408000000000000.0,34.880946652646536,small,250,bert
bert-base-uncased,imdb,15000.0,1.0,8.0,True,1.58,Tesla T4,2e-05,512.0,1.0,1.0,,110000000.0,,18.5159909328476,7680000.0,844800000000000.0,34.37012102888055,small,70,bert
bert-large-uncased,imdb,15000.0,1.0,16.0,True,1.58,Tesla P100-PCIE-16GB,1e-05,256.0,2.0,1.0,,335141890.0,,19.63006455533903,3840000.0,1286944857600000.0,34.791047476919125,small,250,bert
google/mobilebert-uncased,sst2,12000.0,1.0,32.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,256.0,1.0,1.0,glue/sst2,25000000.0,,17.034386422832473,3072000.0,76800000000000.0,31.97222575608219,small,250,bert
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,imdb,1500.0,1.0,4.0,True,1.58,NVIDIA GeForce RTX 3080,2.5e-05,128.0,1.0,1.0,,1100000000.0,,20.818576017659826,192000.0,211200000000000.0,32.98382666776066,large,320,llama
Qwen/Qwen2-4B-Instruct,imdb,4000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,1e-05,384.0,8.0,1.0,,4000000000.0,,22.109560198316302,1536000.0,6144000000000000.0,36.35425239075606,large,250,qwen
roberta-base,imdb,25000.0,1.0,32.0,True,1.58,Tesla P100-PCIE-16GB,1e-05,512.0,2.0,1.0,,125000000.0,,18.643824303266577,12800000.0,1600000000000000.0,35.00878002415642,small,250,bert
Writer/camel-5b-hf,imdb,6000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,1e-05,512.0,16.0,1.0,,5000000000.0,,22.33270374958051,3072000.0,1.536e+16,37.27054312263021,large,250,other
gpt2-xl,imdb,25000.0,80.0,1.0,True,1.58,Tesla P100-PCIE-16GB,0.0002,256.0,16.0,1.0,,1500000000.0,,21.12873094572124,6400000.0,7.68e+17,41.182566128058355,large,250,gpt
bert-base-uncased,imdb,25000.0,1.0,16.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,512.0,1.0,1.0,,110000000.0,,18.5159909328476,12800000.0,1408000000000000.0,34.880946652646536,small,250,bert
gpt2-xl,imdb,25000.0,62.0,1.0,True,1.58,Tesla P100-PCIE-16GB,0.0002,256.0,32.0,1.0,,1500000000.0,,21.12873094572124,6400000.0,5.952e+17,40.927673878429566,large,250,gpt
t5-small,imdb,100000.0,1.0,64.0,True,1.1,TPU v2-8,5e-05,256.0,1.0,1.0,,60000000.0,,17.909855136853043,25600000.0,1536000000000000.0,34.967958029636165,small,250,t5
t5-small,imdb,50000.0,1.0,64.0,True,1.1,TPU v2-8,5e-05,256.0,1.0,1.0,,60000000.0,,17.909855136853043,12800000.0,768000000000000.0,34.274810849076225,small,250,t5
gpt2-xl,imdb,5000.0,1.0,4.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,128.0,1.0,1.0,,1500000000.0,,21.12873094572124,640000.0,960000000000000.0,34.497954400390434,large,250,gpt
distilbert-base-uncased,sst2,67349.0,1.0,16.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,512.0,1.0,1.0,,66000000.0,,18.005165315142214,34482688.0,2275857408000000.0,35.36113325894854,small,250,bert
Writer/camel-5b-hf,amazon_polarity,16000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,1e-05,1024.0,32.0,1.0,,5000000000.0,,22.33270374958051,16384000.0,8.192e+16,38.94451955620188,large,250,other
bert-base-uncased,imdb,5000.0,1.0,32.0,True,1.58,Tesla T4,2e-05,512.0,1.0,1.0,,110000000.0,,18.5159909328476,2560000.0,281600000000000.0,33.27150874021244,small,70,bert
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,imdb,3000.0,1.0,4.0,True,1.58,NVIDIA GeForce RTX 3080,2e-05,256.0,2.0,1.0,,1100000000.0,,20.818576017659826,768000.0,844800000000000.0,34.37012102888055,large,320,llama
roberta-base,imdb,30000.0,1.0,128.0,True,1.1,TPU v2-8,5e-05,256.0,1.0,1.0,,125000000.0,,18.643824303266577,7680000.0,960000000000000.0,34.497954400390434,small,250,bert
distilbert-base-uncased,imdb,5000.0,1.0,16.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,512.0,1.0,1.0,,66000000.0,,18.005165315142214,2560000.0,168960000000000.0,32.76068311644645,small,250,bert
sentence-transformers/all-MiniLM-L6-v2,sst2,10000.0,1.0,32.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,128.0,1.0,1.0,glue/sst2,22000000.0,,16.906553056777135,1280000.0,28160000000000.0,30.968923647218425,small,250,other
t5-small,imdb,100000.0,1.0,64.0,True,1.1,TPU v2-8,5e-05,512.0,1.0,1.0,,60000000.0,,17.909855136853043,51200000.0,3072000000000000.0,35.66110521019611,small,250,t5
