model_name,dataset_name,num_train_samples,num_epochs,batch_size,fp16,pue,gpu_type,learning_rate,max_sequence_length,gradient_accumulation_steps,num_gpus,dataset_config,model_parameters,Unnamed: 15,log_model_parameters,total_tokens,compute_load,compute_log,size_cluster,gpu_power_watts,model_family
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,imdb,8000.0,2.0,2.0,True,1.58,NVIDIA GeForce RTX 3080,2.5e-05,384.0,4.0,1.0,,1100000000.0,,20.818576017659826,3072000.0,6758400000000000.0,36.44956257056038,large,320,llama
distilbert-base-uncased,imdb,20000.0,1.0,32.0,True,1.58,Tesla T4,1e-05,256.0,1.0,1.0,,66000000.0,,18.005165315142214,5120000.0,337920000000000.0,33.45383029700639,small,70,bert
t5-small,imdb,100000.0,1.0,32.0,True,1.1,TPU v2-8,1e-05,256.0,1.0,1.0,,60000000.0,,17.909855136853043,25600000.0,1536000000000000.0,34.967958029636165,small,250,t5
distilbert-base-uncased,imdb,10000.0,1.0,16.0,True,1.58,Tesla P100-PCIE-16GB,3e-05,256.0,2.0,1.0,,66000000.0,,18.005165315142214,2560000.0,168960000000000.0,32.76068311644645,small,250,bert
gpt2-large,imdb,25000.0,1.0,4.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,256.0,4.0,1.0,,774030080.0,,20.467121295139886,6400000.0,4953792512000000.0,36.13892984217785,small,250,gpt
roberta-base,imdb,5000.0,1.0,8.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,256.0,2.0,1.0,,125000000.0,,18.643824303266577,1280000.0,160000000000000.0,32.70619493116238,small,250,bert
distilbert-base-uncased,imdb,20000.0,1.0,32.0,True,1.58,Tesla T4,3e-05,128.0,1.0,1.0,,66000000.0,,18.005165315142214,2560000.0,168960000000000.0,32.76068311644645,small,70,bert
t5-small,imdb,50000.0,1.0,64.0,True,1.1,TPU v2-8,1e-05,256.0,1.0,1.0,,60000000.0,,17.909855136853043,12800000.0,768000000000000.0,34.274810849076225,small,250,t5
bert-base-uncased,sst2,15000.0,1.0,16.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,128.0,1.0,1.0,,110000000.0,,18.5159909328476,1920000.0,211200000000000.0,32.98382666776066,small,250,bert
bert-base-uncased,imdb,30000.0,1.0,32.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,512.0,2.0,1.0,,110000000.0,,18.5159909328476,15360000.0,1689600000000000.0,35.063268209440494,small,250,bert
bert-base-uncased,imdb,25000.0,1.0,32.0,True,1.58,Tesla T4,2e-05,512.0,1.0,1.0,,110000000.0,,18.5159909328476,12800000.0,1408000000000000.0,34.880946652646536,small,70,bert
Writer/camel-5b-hf,yelp_polarity,10000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,1e-05,1024.0,32.0,1.0,,5000000000.0,,22.33270374958051,10240000.0,5.12e+16,38.474515926956144,large,250,other
roberta-base,imdb,30000.0,1.0,32.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,512.0,1.0,1.0,,125000000.0,,18.643824303266577,15360000.0,1920000000000000.0,35.191101580950374,small,250,bert
microsoft/phi-3-mini-4k-instruct,imdb,15000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,1e-05,256.0,16.0,1.0,,3800000000.0,,22.05826690394191,3840000.0,1.4592e+16,37.21924982824266,large,250,phi
distilbert-base-uncased,imdb,5000.0,1.0,8.0,True,1.58,Tesla T4,2e-05,512.0,1.0,1.0,,66000000.0,,18.005165315142214,2560000.0,168960000000000.0,32.76068311644645,small,70,bert
Qwen/Qwen2-4B-Instruct,ag_news,2000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,2e-05,512.0,4.0,1.0,,4000000000.0,,22.109560198316302,1024000.0,4096000000000000.0,35.94878728264789,large,250,qwen
Qwen/Qwen2-4B-Instruct,ag_news,8000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,1e-05,1024.0,16.0,1.0,,4000000000.0,,22.109560198316302,8192000.0,3.2768e+16,38.028228824327726,large,250,qwen
Qwen/Qwen2-4B-Instruct,yelp_polarity,16000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,1e-05,1024.0,32.0,1.0,,4000000000.0,,22.109560198316302,16384000.0,6.5536e+16,38.721376004887674,large,250,qwen
t5-small,imdb,100000.0,1.0,64.0,True,1.1,TPU v2-8,3e-05,256.0,1.0,1.0,,60000000.0,,17.909855136853043,25600000.0,1536000000000000.0,34.967958029636165,small,250,t5
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,imdb,2000.0,1.0,4.0,True,1.58,NVIDIA GeForce RTX 3080,2e-05,256.0,1.0,1.0,,1100000000.0,,20.818576017659826,512000.0,563200000000000.0,33.96465592077238,large,320,llama
google/mobilebert-uncased,sst2,15000.0,1.0,32.0,True,1.58,Tesla P100-PCIE-16GB,3e-05,256.0,1.0,1.0,glue/sst2,25000000.0,,17.034386422832473,3840000.0,96000000000000.0,32.1953693073964,small,250,bert
microsoft/phi-3-mini-4k-instruct,imdb,10000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,2e-05,1024.0,16.0,1.0,,3800000000.0,,22.05826690394191,10240000.0,3.8912e+16,38.20007908125439,large,250,phi
t5-small,imdb,100000.0,1.0,64.0,True,1.1,TPU v2-8,3e-05,512.0,1.0,1.0,,60000000.0,,17.909855136853043,51200000.0,3072000000000000.0,35.66110521019611,small,250,t5
gpt2-medium,imdb,5000.0,1.0,4.0,False,1.58,Tesla P100-PCIE-16GB,2e-05,128.0,2.0,1.0,,354823168.0,,19.687130107846,640000.0,227086827520000.0,33.056353560363554,small,250,gpt
t5-small,imdb,100000.0,1.0,32.0,True,1.1,TPU v2-8,1e-05,512.0,1.0,1.0,,60000000.0,,17.909855136853043,51200000.0,3072000000000000.0,35.66110521019611,small,250,t5
distilbert-base-uncased,imdb,20000.0,1.0,16.0,True,1.58,Tesla T4,5e-05,128.0,1.0,1.0,,66000000.0,,18.005165315142214,2560000.0,168960000000000.0,32.76068311644645,small,70,bert
distilbert-base-uncased,imdb,15000.0,1.0,32.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,512.0,1.0,1.0,,66000000.0,,18.005165315142214,7680000.0,506880000000000.0,33.85929540511456,small,250,bert
bert-base-uncased,imdb,30000.0,1.0,128.0,True,1.1,TPU v2-8,5e-05,128.0,1.0,1.0,,110000000.0,,18.5159909328476,3840000.0,422400000000000.0,33.6769738483206,small,250,bert
gpt2-xl,imdb,25000.0,68.0,1.0,True,1.58,Tesla P100-PCIE-16GB,0.0002,256.0,20.0,1.0,,1500000000.0,,21.12873094572124,6400000.0,6.528e+17,41.02004719856058,large,250,gpt
distilbert-base-uncased,imdb,20000.0,1.0,16.0,True,1.58,Tesla T4,1e-05,256.0,1.0,1.0,,66000000.0,,18.005165315142214,5120000.0,337920000000000.0,33.45383029700639,small,70,bert
google/gemma-2-2b-it,imdb,5000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,2e-05,256.0,8.0,1.0,,2000000000.0,,21.416413018006356,1280000.0,2560000000000000.0,35.478783653402154,large,250,gemma
gpt2-medium,sst2,30000.0,1.0,4.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,256.0,4.0,1.0,,355000000.0,,19.687628350256592,7680000.0,2726400000000000.0,35.54175845256354,small,250,gpt
distilbert-base-uncased,sst2,67349.0,1.0,32.0,True,1.58,Tesla T4,2e-05,512.0,1.0,1.0,,66000000.0,,18.005165315142214,34482688.0,2275857408000000.0,35.36113325894854,small,70,bert
Writer/camel-5b-hf,ag_news,16000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,1e-05,768.0,32.0,1.0,,5000000000.0,,22.33270374958051,12288000.0,6.144e+16,38.6568374837501,large,250,other
google/gemma-2b,imdb,2000.0,1.0,1.0,True,1.58,NVIDIA GeForce RTX 3090,2.5e-05,128.0,3.0,1.0,,2000000000.0,,21.416413018006356,256000.0,512000000000000.0,33.86934574096806,large,350,gemma
Qwen/Qwen2-4B-Instruct,imdb,5000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,1e-05,384.0,8.0,1.0,,4000000000.0,,22.109560198316302,1920000.0,7680000000000000.0,36.57739594207027,large,250,qwen
bert-base-uncased,sst2,67349.0,1.0,8.0,True,1.58,Tesla T4,2e-05,512.0,1.0,1.0,,110000000.0,,18.5159909328476,34482688.0,3793095680000000.0,35.87195888271453,small,70,bert
Qwen/Qwen2-4B-Instruct,yelp_polarity,8000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,1e-05,768.0,16.0,1.0,,4000000000.0,,22.109560198316302,6144000.0,2.4576e+16,37.74054675187595,large,250,qwen
microsoft/phi-3-mini-4k-instruct,imdb,10000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,2e-05,256.0,16.0,1.0,,3800000000.0,,22.05826690394191,2560000.0,9728000000000000.0,36.8137847201345,large,250,phi
distilbert-base-uncased,imdb,15000.0,1.0,16.0,True,1.58,Tesla T4,2e-05,512.0,1.0,1.0,,66000000.0,,18.005165315142214,7680000.0,506880000000000.0,33.85929540511456,small,70,bert
distilbert-base-uncased,sst2,67349.0,1.0,32.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,512.0,1.0,1.0,,66000000.0,,18.005165315142214,34482688.0,2275857408000000.0,35.36113325894854,small,250,bert
bert-base-uncased,sst2,67349.0,1.0,32.0,True,1.58,Tesla T4,2e-05,512.0,1.0,1.0,,110000000.0,,18.5159909328476,34482688.0,3793095680000000.0,35.87195888271453,small,70,bert
distilbert-base-uncased,sst2,15000.0,1.0,16.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,128.0,1.0,1.0,,66000000.0,,18.005165315142214,1920000.0,126720000000000.0,32.47300104399467,small,250,bert
bert-large-uncased,imdb,20000.0,1.0,4.0,True,1.58,Tesla T4,3e-05,256.0,8.0,2.0,,335141890.0,,19.63006455533903,5120000.0,1715926476800000.0,35.078729549370905,small,70,bert
distilbert-base-uncased,sst2,15000.0,1.0,32.0,True,1.58,Tesla P100-PCIE-16GB,1e-05,256.0,1.0,1.0,glue/sst2,66000000.0,,18.005165315142214,3840000.0,253440000000000.0,33.16614822455461,small,250,bert
google/mobilebert-uncased,sst2,10000.0,1.0,16.0,True,1.58,Tesla P100-PCIE-16GB,1e-05,256.0,1.0,1.0,glue/sst2,25000000.0,,17.034386422832473,2560000.0,64000000000000.0,31.789904199288237,small,250,bert
roberta-base,imdb,30000.0,1.0,16.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,512.0,1.0,1.0,,125000000.0,,18.643824303266577,15360000.0,1920000000000000.0,35.191101580950374,small,250,bert
bert-base-uncased,imdb,30000.0,1.0,128.0,True,1.1,TPU v2-8,3e-05,128.0,1.0,1.0,,110000000.0,,18.5159909328476,3840000.0,422400000000000.0,33.6769738483206,small,250,bert
gpt2-xl,imdb,10000.0,1.0,4.0,True,1.58,Tesla P100-PCIE-16GB,3e-05,128.0,2.0,1.0,,1500000000.0,,21.12873094572124,1280000.0,1920000000000000.0,35.191101580950374,large,250,gpt
bert-base-uncased,imdb,30000.0,1.0,32.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,512.0,1.0,1.0,,110000000.0,,18.5159909328476,15360000.0,1689600000000000.0,35.063268209440494,small,250,bert
Qwen/Qwen2-4B-Instruct,sst2,16000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,1e-05,512.0,16.0,1.0,,4000000000.0,,22.109560198316302,8192000.0,3.2768e+16,38.028228824327726,large,250,qwen
bert-base-uncased,imdb,15000.0,1.0,32.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,512.0,1.0,1.0,,110000000.0,,18.5159909328476,7680000.0,844800000000000.0,34.37012102888055,small,250,bert
Writer/camel-5b-hf,imdb,10000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,1e-05,768.0,32.0,1.0,,5000000000.0,,22.33270374958051,7680000.0,3.84e+16,38.186833854504364,large,250,other
distilbert-base-uncased,imdb,25000.0,1.0,32.0,True,1.58,Tesla T4,2e-05,512.0,1.0,1.0,,66000000.0,,18.005165315142214,12800000.0,844800000000000.0,34.37012102888055,small,70,bert
roberta-base,imdb,30000.0,1.0,128.0,True,1.1,TPU v2-8,3e-05,128.0,1.0,1.0,,125000000.0,,18.643824303266577,3840000.0,480000000000000.0,33.80480721983049,small,250,bert
Qwen/Qwen2-4B-Instruct,ag_news,3000.0,1.0,2.0,False,1.58,Tesla P100-PCIE-16GB,2e-05,256.0,4.0,1.0,,4000000000.0,,22.109560198316302,768000.0,3072000000000000.0,35.66110521019611,large,250,qwen
bert-base-uncased,imdb,30000.0,1.0,128.0,True,1.1,TPU v2-8,3e-05,256.0,1.0,1.0,,110000000.0,,18.5159909328476,7680000.0,844800000000000.0,34.37012102888055,small,250,bert
distilbert-base-uncased,imdb,20000.0,1.0,16.0,True,1.58,Tesla T4,5e-05,256.0,1.0,1.0,,66000000.0,,18.005165315142214,5120000.0,337920000000000.0,33.45383029700639,small,70,bert
distilbert-base-uncased,sst2,67349.0,1.0,32.0,True,1.58,Tesla T4,2e-05,512.0,1.0,1.0,,66000000.0,,18.005165315142214,34482688.0,2275857408000000.0,35.36113325894854,small,70,bert
gpt2-xl,imdb,25000.0,60.0,1.0,True,1.58,Tesla P100-PCIE-16GB,0.0002,256.0,20.0,1.0,,1500000000.0,,21.12873094572124,6400000.0,5.76e+17,40.894884055606575,large,250,gpt
distilbert-base-uncased,imdb,20000.0,1.0,32.0,True,1.58,Tesla T4,5e-05,128.0,1.0,1.0,,66000000.0,,18.005165315142214,2560000.0,168960000000000.0,32.76068311644645,small,70,bert
Qwen/Qwen2-4B-Instruct,sst2,1500.0,1.0,2.0,False,1.58,Tesla P100-PCIE-16GB,2e-05,256.0,4.0,1.0,,4000000000.0,,22.109560198316302,384000.0,1536000000000000.0,34.967958029636165,large,250,qwen
bert-base-uncased,imdb,5000.0,1.0,8.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,512.0,1.0,1.0,,110000000.0,,18.5159909328476,2560000.0,281600000000000.0,33.27150874021244,small,250,bert
Qwen/Qwen2-4B-Instruct,yelp_polarity,1500.0,1.0,2.0,False,1.58,Tesla P100-PCIE-16GB,2e-05,384.0,4.0,1.0,,4000000000.0,,22.109560198316302,576000.0,2304000000000000.0,35.37342313774433,large,250,qwen
distilbert-base-uncased,sst2,3000.0,1.0,8.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,128.0,1.0,1.0,glue/sst2,66000000.0,,18.005165315142214,384000.0,25344000000000.0,30.863563131560603,small,250,bert
gpt2-xl,imdb,20000.0,1.0,2.0,True,1.58,Tesla P100-PCIE-16GB,1e-05,128.0,4.0,1.0,,1500000000.0,,21.12873094572124,2560000.0,3840000000000000.0,35.88424876151032,large,250,gpt
distilbert-base-uncased,sst2,10000.0,1.0,16.0,True,1.58,Tesla P100-PCIE-16GB,3e-05,256.0,1.0,1.0,glue/sst2,66000000.0,,18.005165315142214,2560000.0,168960000000000.0,32.76068311644645,small,250,bert
google/gemma-2-2b-it,imdb,10000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,2e-05,512.0,16.0,1.0,,2000000000.0,,21.416413018006356,5120000.0,1.024e+16,36.86507801452205,large,250,gemma
google/gemma-2b,imdb,20000.0,1.0,2.0,True,1.58,NVIDIA GeForce RTX 3090,1.2e-05,512.0,4.0,1.0,,2000000000.0,,21.416413018006356,10240000.0,2.048e+16,37.558225195081995,large,350,gemma
microsoft/phi-3-mini-4k-instruct,imdb,25000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,2e-05,256.0,16.0,1.0,,3800000000.0,,22.05826690394191,6400000.0,2.432e+16,37.73007545200865,large,250,phi
Qwen/Qwen2-4B-Instruct,ag_news,4000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,1e-05,512.0,8.0,1.0,,4000000000.0,,22.109560198316302,2048000.0,8192000000000000.0,36.64193446320784,large,250,qwen
bert-base-uncased,sst2,30000.0,1.0,16.0,True,1.58,Tesla P100-PCIE-16GB,3e-05,256.0,2.0,1.0,,110000000.0,,18.5159909328476,7680000.0,844800000000000.0,34.37012102888055,small,250,bert
Writer/camel-5b-hf,ag_news,6000.0,1.0,1.0,False,1.58,Tesla P100-PCIE-16GB,1e-05,1024.0,16.0,1.0,,5000000000.0,,22.33270374958051,6144000.0,3.072e+16,37.963690303190155,large,250,other
google/gemma-2b,imdb,3000.0,1.0,2.0,True,1.58,NVIDIA GeForce RTX 3090,2e-05,128.0,2.0,1.0,,2000000000.0,,21.416413018006356,384000.0,768000000000000.0,34.274810849076225,large,350,gemma
bert-large-uncased,imdb,5000.0,1.0,8.0,False,1.58,Tesla T4,2e-05,128.0,1.0,2.0,,335141890.0,,19.63006455533903,640000.0,214490809600000.0,32.99928800769108,small,70,bert
distilbert-base-uncased,imdb,20000.0,1.0,32.0,True,1.58,Tesla T4,1e-05,128.0,1.0,1.0,,66000000.0,,18.005165315142214,2560000.0,168960000000000.0,32.76068311644645,small,70,bert
gpt2-xl,imdb,30000.0,1.0,2.0,True,1.58,Tesla P100-PCIE-16GB,2.5e-05,128.0,8.0,1.0,,1500000000.0,,21.12873094572124,3840000.0,5760000000000000.0,36.28971386961849,large,250,gpt
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,imdb,1000.0,1.0,8.0,True,1.58,NVIDIA GeForce RTX 3080,3e-05,128.0,1.0,1.0,,1100000000.0,,20.818576017659826,128000.0,140800000000000.0,32.5783615596525,large,320,llama
roberta-base,sst2,30000.0,1.0,16.0,True,1.58,Tesla P100-PCIE-16GB,3e-05,256.0,2.0,1.0,,125000000.0,,18.643824303266577,7680000.0,960000000000000.0,34.497954400390434,small,250,bert
distilbert-base-uncased,imdb,5000.0,1.0,8.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,512.0,1.0,1.0,,66000000.0,,18.005165315142214,2560000.0,168960000000000.0,32.76068311644645,small,250,bert
distilbert-base-uncased,imdb,20000.0,1.0,16.0,True,1.58,Tesla T4,3e-05,512.0,1.0,1.0,,66000000.0,,18.005165315142214,10240000.0,675840000000000.0,34.14697747756634,small,70,bert
distilbert-base-uncased,imdb,5000.0,1.0,16.0,True,1.58,Tesla T4,2e-05,512.0,1.0,1.0,,66000000.0,,18.005165315142214,2560000.0,168960000000000.0,32.76068311644645,small,70,bert
distilbert-base-uncased,imdb,20000.0,1.0,32.0,True,1.58,Tesla T4,3e-05,256.0,1.0,1.0,,66000000.0,,18.005165315142214,5120000.0,337920000000000.0,33.45383029700639,small,70,bert
t5-small,imdb,100000.0,1.0,64.0,True,1.1,TPU v2-8,2e-05,512.0,1.0,1.0,,60000000.0,,17.909855136853043,51200000.0,3072000000000000.0,35.66110521019611,small,250,t5
google/gemma-2b,imdb,12000.0,1.0,2.0,True,1.58,NVIDIA GeForce RTX 3090,1.6e-05,512.0,3.0,1.0,,2000000000.0,,21.416413018006356,6144000.0,1.2288e+16,37.047399571316,large,350,gemma
bert-base-uncased,sst2,67349.0,1.0,16.0,True,1.58,Tesla T4,2e-05,512.0,1.0,1.0,,110000000.0,,18.5159909328476,34482688.0,3793095680000000.0,35.87195888271453,small,70,bert
gpt2-medium,imdb,10000.0,1.0,4.0,True,1.58,Tesla P100-PCIE-16GB,2e-05,256.0,4.0,1.0,,355000000.0,,19.687628350256592,2560000.0,908800000000000.0,34.443146163895435,small,250,gpt
t5-small,imdb,50000.0,1.0,64.0,True,1.1,TPU v2-8,3e-05,512.0,1.0,1.0,,60000000.0,,17.909855136853043,25600000.0,1536000000000000.0,34.967958029636165,small,250,t5
distilbert-base-uncased,imdb,20000.0,1.0,16.0,True,1.58,Tesla T4,5e-05,512.0,1.0,1.0,,66000000.0,,18.005165315142214,10240000.0,675840000000000.0,34.14697747756634,small,70,bert
gpt2-medium,imdb,15000.0,1.0,4.0,True,1.58,Tesla P100-PCIE-16GB,1e-05,512.0,4.0,1.0,,355000000.0,,19.687628350256592,7680000.0,2726400000000000.0,35.54175845256354,small,250,gpt
distilbert-base-uncased,imdb,25000.0,1.0,32.0,True,1.58,Tesla P100-PCIE-16GB,1e-05,512.0,2.0,1.0,,66000000.0,,18.005165315142214,12800000.0,844800000000000.0,34.37012102888055,small,250,bert
distilbert-base-uncased,sst2,67349.0,1.0,16.0,True,1.58,Tesla T4,2e-05,512.0,1.0,1.0,,66000000.0,,18.005165315142214,34482688.0,2275857408000000.0,35.36113325894854,small,70,bert
