id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
d800b512-0320-4aa1-929d-1c730def30f4,EcoBERT_Predictor_Data_Collection,run_f0112ece-bbd7-4cd3-a26a-69b38e254845,,28-08-2025 09:23,151.2495432,0.011145781,0.004392742,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
2ca11fb8-03bb-4243-96d0-81fc841e41d0,EcoBERT_Predictor_Data_Collection,run_4275fd13-cc4c-4e41-a309-334b6c61d88a,,28-08-2025 09:26,132.0784123,0.011114286,0.004380329,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
1ff0b352-0f3b-4b67-971a-374330b254a7,EcoBERT_Predictor_Data_Collection,run_72c505c7-e6b2-432f-823f-32c7dcc641af,,28-08-2025 09:28,128.2939894,0.011499692,0.004532224,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
8b3e472a-3ec5-4751-b8a4-2efe4d24db7e,EcoBERT_Predictor_Data_Collection,run_c3a750d8-a00c-4029-8222-148154426712,,28-08-2025 09:30,415.0648601,0.034189297,0.013474583,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
27e75941-6ef0-4cd9-8773-8ade4a753384,EcoBERT_Predictor_Data_Collection,run_217b0f84-aeeb-40ed-8aeb-8c3b060edcf0,,28-08-2025 09:37,388.2243085,0.033765716,0.013307643,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
21eddcde-2a32-4057-a472-f72e29a47101,EcoBERT_Predictor_Data_Collection,run_e3e7a135-4887-4043-9011-09a0a3f1f1a9,,28-08-2025 09:44,374.1368654,0.033613892,0.013247806,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
1ff3844d-0c3b-4d4d-a0a5-3069981502bc,EcoBERT_Predictor_Data_Collection,run_5c444f06-e3cf-4e1a-9aee-f3a3c1ff0c4e,,28-08-2025 09:50,696.2872241,0.057141075,0.022520269,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
ed2fc7de-ab49-4344-ba95-b547d04f8546,EcoBERT_Predictor_Data_Collection,run_6a5b641e-a5d7-41e6-b519-226e40036e59,,28-08-2025 10:02,649.1134241,0.057158414,0.022527103,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
2ebc16df-ac5d-4cc0-a64f-03b0ac6841b3,EcoBERT_Predictor_Data_Collection,run_9ba93420-24dd-4fe0-88b6-a6b9484dc72b,,28-08-2025 10:12,624.5871413,0.055736402,0.021966664,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
f8c603dd-7184-459a-903b-9441fbcd552c,EcoBERT_Predictor_Data_Collection,run_e09c7f04-ddb0-473c-8f58-2cee85744549,,28-08-2025 10:23,7.789320469,0.0001297,5.11E-05,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
ba03e0f1-f75c-43eb-bd5c-81ebcbde8317,EcoBERT_Predictor_Data_Collection,run_791bd20e-d11b-4381-9994-51ce68177fdf,,28-08-2025 10:23,3.455976725,5.68E-05,2.24E-05,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
1594e9ae-f230-48df-af4b-b74d67085b52,EcoBERT_Predictor_Data_Collection,run_e4f07e94-05fb-442b-93ff-458e754a45c5,,28-08-2025 10:23,3.378713608,5.51E-05,2.17E-05,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
3ae8877a-6ab2-4d51-ab2f-1b534496856e,EcoBERT_Predictor_Data_Collection,run_76a97796-c05d-4b8e-b7ff-25dab32158ec,,28-08-2025 10:23,3.250356674,5.26E-05,2.07E-05,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
59192523-494e-40ce-bfef-d67f32ee33bb,EcoBERT_Predictor_Data_Collection,run_168a262e-6b49-4904-b0b5-1b28bfa789f9,,28-08-2025 10:23,3.127492666,5.03E-05,1.98E-05,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
31f3b354-9756-4c26-8408-7013f8d9b0ab,EcoBERT_Predictor_Data_Collection,run_35984209-3a46-4aed-ab23-468b2b797e57,,28-08-2025 10:23,2.979325533,4.73E-05,1.86E-05,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
a7a14e66-352a-40b9-8423-2242ad596179,EcoBERT_Predictor_Data_Collection,run_d413f909-2039-4611-9224-ebca8a63daac,,28-08-2025 10:23,3.193077803,5.07E-05,2.00E-05,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
220f1a88-1441-494b-913a-49645f6718d1,EcoBERT_Predictor_Data_Collection,run_16eef7fc-b909-4ef8-b0bb-10d3a78eea28,,28-08-2025 10:23,3.148821354,4.97E-05,1.96E-05,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
f0f2ad6f-9370-455c-bfd9-44551e040a98,EcoBERT_Predictor_Data_Collection,run_0e035675-ba1c-4432-b8d3-4aea6e8c3c5d,,28-08-2025 10:24,3.39566803,5.32E-05,2.10E-05,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
333c92c5-8fce-4e7e-9efb-136521a4a05c,EcoBERT_Predictor_Data_Collection,run_9233b946-bbf5-4077-9787-2fe93619e021,,28-08-2025 10:24,278.5578878,0.022597593,0.008906096,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
c8ea0a13-4b6f-41e8-811d-5b0ef05d2c8a,EcoBERT_Predictor_Data_Collection,run_4c585f19-7cb9-4e58-9591-2672b6bb4183,,28-08-2025 10:28,3.943910837,6.59E-05,2.60E-05,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
fe98a5d1-f047-4140-9d1e-a6054e7beca0,EcoBERT_Predictor_Data_Collection,run_66dda423-0234-498d-9dd2-7bfbd50b11d4,,28-08-2025 10:28,3.191333055,5.22E-05,2.06E-05,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
5dc22269-f875-4031-8859-9226963bedd7,EcoBERT_Predictor_Data_Collection,run_26c836a2-cf4d-4a5c-b84c-87cf8c22e7b3,,28-08-2025 10:28,12.23779297,0.00045761,0.000180352,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
8063f2bb-bf61-4ed6-bd7f-33f92597e373,EcoBERT_Predictor_Data_Collection,run_ddb86927-58e3-416f-a270-b1bf5c694638,,28-08-2025 10:29,3.422593832,5.34E-05,2.10E-05,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
ed77c122-8767-4c23-aa30-63ffa321f8da,EcoBERT_Predictor_Data_Collection,run_1c16b2dc-5b6e-4ef1-b354-972b0cb54b85,,28-08-2025 10:29,3.217621326,4.99E-05,1.97E-05,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
2972354c-38ba-4c9b-be23-221346d31b82,EcoBERT_Predictor_Data_Collection,run_dd5f46ac-3e0c-4eed-b738-cf45bb08c95d,,28-08-2025 10:29,19.15595198,0.000533268,0.00021017,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
71d886fc-5c6f-45c4-b5b1-9b7b6dbd29ec,EcoBERT_Predictor_Data_Collection,run_b72f8661-f5a6-418e-bec4-15c3319856c6,,28-08-2025 10:29,3.593964338,5.39E-05,2.12E-05,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
9890adc0-feab-4b50-a784-ca4bafb158a6,EcoBERT_Predictor_Data_Collection,run_3f12b32c-0fb2-4921-bd93-830a4706b157,N/A,28-08-2025 10:29,3.196026564,4.80E-05,1.89E-05,"Intel(R) Xeon(R) CPU @ 2.00GHz/1 device(s), TDP:61.0",Tesla P100-PCIE-16GB 1 device(s),Linux,NL/Groningen,0
