id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
e9c3e64f-a741-4caf-a17c-363bde290cec,CO2_Optimization,Trial_0,,2025-11-08 08:37:08,0.8061034679412842,1.2470844045594734e-07,2.2521097261939527e-08,"Intel(R) Xeon(R) CPU @ 2.20GHz/1 device(s), TDP:61.0", 0 device(s),Linux,US/Oregon,0
31a2c0b3-47b6-4472-903f-ac44197815b8,CO2_Optimization,Trial_0,,2025-11-08 08:37:29,0.8091590404510498,1.2749736276144102e-07,2.3024748741088632e-08,"Intel(R) Xeon(R) CPU @ 2.20GHz/1 device(s), TDP:61.0", 0 device(s),Linux,US/Oregon,0
ed3e837a-d1b4-4ee3-92d6-e59f0c3a10a4,CO2_Optimization,Trial_0,,2025-11-08 08:37:50,0.8819479942321777,1.388354152519848e-07,2.507228764035593e-08,"Intel(R) Xeon(R) CPU @ 2.20GHz/1 device(s), TDP:61.0", 0 device(s),Linux,US/Oregon,0
9374e03e-e074-44ef-a6b6-91a5688862b1,CO2_Optimization,Trial_0,,2025-11-08 08:38:11,0.9686641693115234,1.530877061981073e-07,2.76461088623162e-08,"Intel(R) Xeon(R) CPU @ 2.20GHz/1 device(s), TDP:61.0", 0 device(s),Linux,US/Oregon,0
2a97628f-c1a0-428e-b313-0b1b776587dc,CO2_Optimization,Trial_0,,2025-11-08 08:38:35,0.7876706123352051,1.2438182171649714e-07,2.2462113183782223e-08,"Intel(R) Xeon(R) CPU @ 2.20GHz/1 device(s), TDP:61.0", 0 device(s),Linux,US/Oregon,0
dab35f1a-45c6-4b5e-9f9b-1318c1f137b8,CO2_Optimization,Trial_0,,2025-11-08 08:38:57,0.8067717552185059,1.2736946473950185e-07,2.300165163730664e-08,"Intel(R) Xeon(R) CPU @ 2.20GHz/1 device(s), TDP:61.0", 0 device(s),Linux,US/Oregon,0
ee9a8882-9147-46b3-86fd-aabcd1e84bfd,CO2_Optimization,Trial_0,,2025-11-08 08:39:18,1.045544147491455,1.64435649042692e-07,2.9695433860619764e-08,"Intel(R) Xeon(R) CPU @ 2.20GHz/1 device(s), TDP:61.0", 0 device(s),Linux,US/Oregon,0
a97e6aa0-286b-4503-8caf-21597206821a,CO2_Optimization,Trial_0,,2025-11-08 08:39:41,0.725365400314331,1.1314452801750957e-07,2.0432770314682052e-08,"Intel(R) Xeon(R) CPU @ 2.20GHz/1 device(s), TDP:61.0", 0 device(s),Linux,US/Oregon,0
b8ac9290-f999-4ca5-a96b-5f8b3ff37062,CO2_Optimization,Trial_0,N/A,2025-11-08 08:40:02,1.0405693054199219,1.6439199375639646e-07,2.9687550152467638e-08,"Intel(R) Xeon(R) CPU @ 2.20GHz/1 device(s), TDP:61.0", 0 device(s),Linux,US/Oregon,0
